token	corpus size	all contexts size	frequency	co-frequency	specificity
منسوب	96613	2422	1	1	1.60
خُضار.	96613	2422	1	1	1.60
القاريَّة،	96613	2422	1	1	1.60
الأخيَلُ.	96613	2422	1	1	1.60
خضراء:	96613	2422	1	1	1.60
#بودكاست	96613	2422	1	1	1.60
Podcast	96613	2422	1	1	1.60
Top	96613	2422	1	1	1.60
Charts	96613	2422	1	1	1.60
0.0	96613	2422	1	1	1.60
(0)	96613	2422	1	1	1.60
NEWS	96613	2422	1	1	1.60
تحكي	96613	2422	1	1	1.60
المكان”	96613	2422	1	1	1.60
📝	96613	2422	1	1	1.60
الملخص:	96613	2422	1	1	1.60
نسلّط	96613	2422	1	1	1.60
الجوف،	96613	2422	1	1	1.60
Explicit	96613	2422	1	1	1.60
Show	96613	2422	1	1	1.60
(France)	96613	2422	1	1	1.60
مسحوقة	96613	2422	1	1	1.60
حارة	96613	2422	1	1	1.60
شرائح	96613	2422	1	1	1.60
بصل	96613	2422	1	1	1.60
أرز	96613	2422	1	1	1.60
مطبوخ،	96613	2422	1	1	1.60
للتقديم	96613	2422	1	1	1.60
Aldar	96613	2422	1	1	1.60
أراضي	96613	2422	1	1	1.60
ليعلموا	96613	2422	1	1	1.60
سألتك	96613	2422	1	1	1.60
وليعلموا	96613	2422	1	1	1.60
مكانتك	96613	2422	1	1	1.60
وفضلك.	96613	2422	1	1	1.60
خَضِرًا،	96613	2422	1	1	1.60
خُضْرٍ،	96613	2422	1	1	1.60
مُخْضَرَّة،	96613	2422	1	1	1.60
الْأَخْضَرِ.	96613	2422	1	1	1.60
العذبة،	96613	2422	1	1	1.60
يُحَلَّون	96613	2422	1	1	1.60
بأساور	96613	2422	1	1	1.60
الذهب،	96613	2422	1	1	1.60
ويَلْبَسون	96613	2422	1	1	1.60
ثيابًا	96613	2422	1	1	1.60
نسجت	96613	2422	1	1	1.60
رقيق	96613	2422	1	1	1.60
الحرير	96613	2422	1	1	1.60
وغليظه،	96613	2422	1	1	1.60
يتكئون	96613	2422	1	1	1.60
الأسِرَّة	96613	2422	1	1	1.60
المزدانة	96613	2422	1	1	1.60
لماذا؟	96613	2422	1	1	1.60
بالشجر	96613	2422	1	1	1.60
مظاهر	96613	2422	1	1	1.60
محافظ	96613	2422	1	1	1.60
"حملة	96613	2422	1	1	1.60
بالضدية	96613	2422	1	1	1.60
رجليها	96613	2422	1	1	1.60
تسبلي	96613	2422	1	1	1.60
ستارةً	96613	2422	1	1	1.60
غضةً	96613	2422	1	1	1.60
دمي	96613	2422	1	1	1.60
لشباك	96613	2422	1	1	1.60
خلي	96613	2422	1	1	1.60
مسافاتي	96613	2422	1	1	1.60
تحطمي	96613	2422	1	1	1.60
منظري	96613	2422	1	1	1.60
النَّكَعة	96613	2422	1	1	1.60
ضَرْب	96613	2422	1	1	1.60
حُلْوٌ	96613	2422	1	1	1.60
جَدَّ	96613	2422	1	1	1.60
ابْيَضَّ	96613	2422	1	1	1.60
يَتَذَأْنَنُون	96613	2422	1	1	1.60
يَطْلبُون	96613	2422	1	1	1.60
درجات	96613	2422	28	3	1.56
السابق	96613	2422	11	2	1.56
الرجوع	96613	2422	11	2	1.56
أخضر....///للشاعر	96613	2422	11	2	1.56
يعرف	96613	2422	11	2	1.56
بحث	96613	2422	51	4	1.52
في	96613	2422	2095	60	1.51
oEmbed	96613	2422	12	2	1.49
أشعة	96613	2422	12	2	1.49
أضف	96613	2422	12	2	1.49
حلمٌ	96613	2422	12	2	1.49
خيارات	96613	2422	12	2	1.49
الآن	96613	2422	30	3	1.49
الأرض،	96613	2422	13	2	1.43
خلاصة	96613	2422	13	2	1.43
لأنّ	96613	2422	13	2	1.43
تطبيق	96613	2422	13	2	1.43
Green	96613	2422	83	5	1.40
الولايات	96613	2422	14	2	1.38
يمكنك	96613	2422	14	2	1.38
إحياء	96613	2422	14	2	1.38
صار	96613	2422	15	2	1.32
شجر	96613	2422	15	2	1.32
جمال	96613	2422	36	3	1.31
معبراً	96613	2422	2	1	1.31
فاتح,	96613	2422	2	1	1.31
المظلم	96613	2422	2	1	1.31
السلامة.	96613	2422	2	1	1.31
الأمريكي.	96613	2422	2	1	1.31
عصري	96613	2422	2	1	1.31
كهرطيسي	96613	2422	2	1	1.31
realism	96613	2422	2	1	1.31
(art	96613	2422	2	1	1.31
style)	96613	2422	2	1	1.31
زهري	96613	2422	2	1	1.31
تصنيف:لون	96613	2422	2	1	1.31
ضوئي	96613	2422	2	1	1.31
تفاؤله	96613	2422	2	1	1.31
بالإنتاج	96613	2422	2	1	1.31
الآدميّ	96613	2422	2	1	1.31
حياةً	96613	2422	2	1	1.31
والعقم	96613	2422	2	1	1.31
تمتاز	96613	2422	2	1	1.31
شعرًا	96613	2422	2	1	1.31
المادّة	96613	2422	2	1	1.31
الأوّليّة	96613	2422	2	1	1.31
بالماء	96613	2422	2	1	1.31
شي	96613	2422	2	1	1.31
100%	96613	2422	2	1	1.31
كلما	96613	2422	2	1	1.31
تتحقق	96613	2422	2	1	1.31
جميعهم	96613	2422	2	1	1.31
غريبة	96613	2422	2	1	1.31
الفريد	96613	2422	2	1	1.31
الزيتوني:	96613	2422	2	1	1.31
الزيتون	96613	2422	2	1	1.31
تقييمك	96613	2422	2	1	1.31
4.88	96613	2422	2	1	1.31
color.	96613	2422	2	1	1.31
لبس	96613	2422	2	1	1.31
98.	96613	2422	2	1	1.31
تمرد	96613	2422	2	1	1.31
وجمهور	96613	2422	2	1	1.31
شبابي	96613	2422	2	1	1.31
Published	96613	2422	2	1	1.31
انقر	96613	2422	2	1	1.31
العطاء	96613	2422	2	1	1.31
تتيح	96613	2422	2	1	1.31
يسهم	96613	2422	2	1	1.31
Loading	96613	2422	2	1	1.31
واكتشف	96613	2422	2	1	1.31
اجعل	96613	2422	2	1	1.31
وتابع	96613	2422	2	1	1.31
سنويا	96613	2422	2	1	1.31
وفر	96613	2422	2	1	1.31
لأخضر	96613	2422	2	1	1.31
شركاء	96613	2422	2	1	1.31
تأثيرًا	96613	2422	2	1	1.31
للتعلم	96613	2422	2	1	1.31
قالوا	96613	2422	2	1	1.31
videos	96613	2422	2	1	1.31
يوميا؟	96613	2422	2	1	1.31
طرق	96613	2422	2	1	1.31
الاشتراك	96613	2422	2	1	1.31
Vision	96613	2422	2	1	1.31
بطاقات	96613	2422	2	1	1.31
القاهرة	96613	2422	2	1	1.31
الدولي	96613	2422	2	1	1.31
للكتاب	96613	2422	2	1	1.31
منديلك	96613	2422	2	1	1.31
العليا،	96613	2422	2	1	1.31
قرص	96613	2422	2	1	1.31
الجميع،	96613	2422	2	1	1.31
أخضر..	96613	2422	2	1	1.31
محدودًا	96613	2422	2	1	1.31
النعوت	96613	2422	2	1	1.31
اللون.	96613	2422	2	1	1.31
تتفاوت	96613	2422	2	1	1.31
البني.	96613	2422	2	1	1.31
الورقية.	96613	2422	2	1	1.31
الغابات،	96613	2422	2	1	1.31
هي:	96613	2422	2	1	1.31
بأخضر	96613	2422	2	1	1.31
بالمتوسط	96613	2422	2	1	1.31
السواد.	96613	2422	2	1	1.31
يتراوح	96613	2422	2	1	1.31
للرسم	96613	2422	2	1	1.31
الفراعنة	96613	2422	2	1	1.31
“جبل	96613	2422	2	1	1.31
تاريخي	96613	2422	2	1	1.31
ومحاولات	96613	2422	2	1	1.31
الإيجابية،	96613	2422	2	1	1.31
النحاس	96613	2422	2	1	1.31
لونًا	96613	2422	2	1	1.31
مائلًا	96613	2422	2	1	1.31
بارز	96613	2422	2	1	1.31
الطبقي	96613	2422	2	1	1.31
صباغ	96613	2422	2	1	1.31
مشابه	96613	2422	2	1	1.31
جمهورية	96613	2422	2	1	1.31
وإمَّا	96613	2422	2	1	1.31
أخضرُ:	96613	2422	2	1	1.31
اخضارَّ	96613	2422	2	1	1.31
يخضرّ،	96613	2422	2	1	1.31
(حن)	96613	2422	2	1	1.31
طائر	96613	2422	2	1	1.31
خَضْراءُ	96613	2422	2	1	1.31
البيئي،	96613	2422	2	1	1.31
أغنى	96613	2422	2	1	1.31
Website	96613	2422	2	1	1.31
Select	96613	2422	2	1	1.31
رشة	96613	2422	2	1	1.31
صلصة	96613	2422	2	1	1.31
¼	96613	2422	2	1	1.31
بالباربيكيو:	96613	2422	2	1	1.31
الخيارات	96613	2422	2	1	1.31
الأنهار	96613	2422	2	1	1.31
تُوقِدُونَ"	96613	2422	2	1	1.31
﴿يس	96613	2422	2	1	1.31
80﴾	96613	2422	2	1	1.31
الذهن	96613	2422	2	1	1.31
التصحر	96613	2422	2	1	1.31
وحملة	96613	2422	2	1	1.31
عامر	96613	2422	2	1	1.31
بالماء،	96613	2422	2	1	1.31
الأنهر	96613	2422	2	1	1.31
هوىً	96613	2422	2	1	1.31
طولها	96613	2422	2	1	1.31
أهمية	96613	2422	16	2	1.28
رد:	96613	2422	16	2	1.28
يوجد	96613	2422	16	2	1.28
إعادة	96613	2422	16	2	1.28
أو	96613	2422	188	8	1.27
وجه	96613	2422	17	2	1.23
دخول	96613	2422	17	2	1.23
الدار	96613	2422	17	2	1.23
على	96613	2422	888	26	1.23
العربية	96613	2422	40	3	1.22
(BUTTON)	96613	2422	340	12	1.21
مواضيع	96613	2422	18	2	1.19
بواسطة	96613	2422	18	2	1.19
أفكار	96613	2422	18	2	1.19
القرن	96613	2422	18	2	1.19
حساب	96613	2422	18	2	1.19
من	96613	2422	1485	37	1.18
عالم	96613	2422	42	3	1.17
تحت	96613	2422	19	2	1.16
وقت	96613	2422	19	2	1.16
إنشاء	96613	2422	19	2	1.16
الشجر	96613	2422	19	2	1.16
علم	96613	2422	43	3	1.15
هنا	96613	2422	43	3	1.15
عبر	96613	2422	43	3	1.15
العملي	96613	2422	3	1	1.15
الظاهرة	96613	2422	3	1	1.15
فقط.	96613	2422	3	1	1.15
المرئي	96613	2422	3	1	1.15
أمواج	96613	2422	3	1	1.15
صغرية	96613	2422	3	1	1.15
تصنيفات:	96613	2422	3	1	1.15
تصنيفات	96613	2422	3	1	1.15
مخفية:	96613	2422	3	1	1.15
أرشيف	96613	2422	3	1	1.15
MediaWiki	96613	2422	3	1	1.15
موضوعًا	96613	2422	3	1	1.15
×	96613	2422	3	1	1.15
بالمستقبل	96613	2422	3	1	1.15
إليه،	96613	2422	3	1	1.15
الدرب	96613	2422	3	1	1.15
لمقاومة	96613	2422	3	1	1.15
الشّرّ	96613	2422	3	1	1.15
والحقد	96613	2422	3	1	1.15
حبًّا	96613	2422	3	1	1.15
يُصنع	96613	2422	3	1	1.15
الألوان،	96613	2422	3	1	1.15
مرّ	96613	2422	3	1	1.15
توقيع	96613	2422	3	1	1.15
:sm5:	96613	2422	3	1	1.15
لدرجة	96613	2422	3	1	1.15
ينزل	96613	2422	3	1	1.15
للغاية	96613	2422	3	1	1.15
visible	96613	2422	3	1	1.15
science	96613	2422	3	1	1.15
sRGB	96613	2422	3	1	1.15
الوب	96613	2422	3	1	1.15
قراءات	96613	2422	3	1	1.15
للمشاركة	96613	2422	3	1	1.15
الشبان	96613	2422	3	1	1.15
2030.	96613	2422	3	1	1.15
الأهداف	96613	2422	3	1	1.15
مكان.	96613	2422	3	1	1.15
واستمتع	96613	2422	3	1	1.15
تعطي	96613	2422	3	1	1.15
تقدمك	96613	2422	3	1	1.15
وإنجازاتك	96613	2422	3	1	1.15
حقيقية	96613	2422	3	1	1.15
والمعرفة	96613	2422	3	1	1.15
your	96613	2422	3	1	1.15
والدعم	96613	2422	3	1	1.15
موسوعة	96613	2422	3	1	1.15
معرض	96613	2422	3	1	1.15
القهوة	96613	2422	3	1	1.15
play	96613	2422	3	1	1.15
بالتعاون	96613	2422	3	1	1.15
المال،	96613	2422	3	1	1.15
طبقة	96613	2422	3	1	1.15
يعلو	96613	2422	3	1	1.15
ثانية	96613	2422	3	1	1.15
حوله	96613	2422	3	1	1.15
عددًا	96613	2422	3	1	1.15
نتحدث	96613	2422	3	1	1.15
الكريمة،	96613	2422	3	1	1.15
