token	corpus size	all contexts size	frequency	co-frequency	specificity
hỏa_thường	118662	24424	3	2	1.00
tình_huống	118662	24424	3	2	1.00
tóc_xanh	118662	24424	3	2	1.00
khoác	118662	24424	3	2	1.00
thân_quen	118662	24424	3	2	1.00
bomber	118662	24424	3	2	1.00
đồng_cỏ	118662	24424	3	2	1.00
phù	118662	24424	3	2	1.00
sọc	118662	24424	3	2	1.00
520	118662	24424	3	2	1.00
90ee90	118662	24424	3	2	1.00
khảo	118662	24424	3	2	1.00
jaysonlei	118662	24424	3	2	1.00
tez	118662	24424	3	2	1.00
tín_đồ	118662	24424	3	2	1.00
hưởng	118662	24424	3	2	1.00
chọn_lựa	118662	24424	3	2	1.00
ngói	118662	24424	3	2	1.00
mã_màu	118662	24424	3	2	1.00
hiệu_suất	118662	24424	3	2	1.00
139	118662	24424	3	2	1.00
58	118662	24424	3	2	1.00
nhã_nhặn	118662	24424	3	2	1.00
kết_cấu	118662	24424	3	2	1.00
tinh_thể	118662	24424	3	2	1.00
đương	118662	24424	3	2	1.00
quai	118662	24424	3	2	1.00
chè_xanh	118662	24424	3	2	1.00
hồ_ngọc_đức	118662	24424	3	2	1.00
dict	118662	24424	3	2	1.00
leipzig	118662	24424	3	2	1.00
sơn_tùng	118662	24424	3	2	1.00
korea	118662	24424	3	2	1.00
caddy	118662	24424	3	2	1.00
cart_bags	118662	24424	3	2	1.00
multi	118662	24424	3	2	1.00
2088	118662	24424	3	2	1.00
download_app	118662	24424	3	2	1.00
173	118662	24424	3	2	1.00
sâu_răng	118662	24424	3	2	1.00
biển	118662	24424	70	16	0.99
trải	118662	24424	70	16	0.99
năng_lượng	118662	24424	93	19	0.99
một_số	118662	24424	65	15	0.98
mình	118662	24424	86	18	0.98
chúng_ta	118662	24424	24	7	0.97
quá	118662	24424	34	9	0.96
nghĩa	118662	24424	15	5	0.96
giao_thông	118662	24424	63	14	0.94
cộng_đồng	118662	24424	72	15	0.94
xu_hướng	118662	24424	35	9	0.93
váy	118662	24424	35	9	0.93
hỏa	118662	24424	20	6	0.93
tủ	118662	24424	20	6	0.93
sức_mạnh	118662	24424	11	4	0.93
phủ	118662	24424	11	4	0.93
nữa	118662	24424	11	4	0.93
hạn_chế	118662	24424	11	4	0.93
đằng	118662	24424	11	4	0.93
cửa	118662	24424	11	4	0.93
4k	118662	24424	11	4	0.93
nippon	118662	24424	11	4	0.93
tre	118662	24424	11	4	0.93
chú_ý	118662	24424	11	4	0.93
trường_học	118662	24424	11	4	0.93
download	118662	24424	11	4	0.93
chất_lượng	118662	24424	69	14	0.93
trang_phục	118662	24424	69	14	0.93
đều	118662	24424	67	13	0.92
gạch	118662	24424	7	3	0.92
thực_tế	118662	24424	7	3	0.92
vài	118662	24424	7	3	0.92
nghĩa_là	118662	24424	7	3	0.92
cyan	118662	24424	7	3	0.92
không_những	118662	24424	7	3	0.92
thiết	118662	24424	7	3	0.92
tổng_quan	118662	24424	7	3	0.92
xương	118662	24424	7	3	0.92
định_hướng	118662	24424	7	3	0.92
cơ_chế	118662	24424	7	3	0.92
hãy	118662	24424	61	13	0.91
nông_thôn	118662	24424	61	12	0.90
nghiên_cứu	118662	24424	16	5	0.89
đơn	118662	24424	57	11	0.89
đề_cử	118662	24424	26	7	0.89
nhỏ	118662	24424	37	9	0.89
hỏi	118662	24424	21	6	0.89
xây_dựng	118662	24424	43	10	0.89
ngôi	118662	24424	51	11	0.88
yêu	118662	24424	53	11	0.87
thể_hiện	118662	24424	50	10	0.86
nấm_rơm	118662	24424	12	4	0.85
vì_sao	118662	24424	12	4	0.85
trở	118662	24424	12	4	0.85
diện	118662	24424	12	4	0.85
bao_giờ	118662	24424	12	4	0.85
tràn_đầy	118662	24424	12	4	0.85
hiện_nay	118662	24424	12	4	0.85
cái	118662	24424	12	4	0.85
vật_liệu	118662	24424	12	4	0.85
bản_địa	118662	24424	12	4	0.85
quay	118662	24424	22	6	0.85
lưu_ý	118662	24424	22	6	0.85
sáng_tạo	118662	24424	47	9	0.85
đoàn	118662	24424	17	5	0.84
lập	118662	24424	17	5	0.84
hội	118662	24424	41	9	0.84
bởi	118662	24424	45	9	0.83
nội	118662	24424	28	7	0.83
kết_nối	118662	24424	42	9	0.83
dễ	118662	24424	44	9	0.83
thành_lập	118662	24424	23	6	0.82
nói	118662	24424	23	6	0.82
lĩnh_vực	118662	24424	29	7	0.81
dễ_dàng	118662	24424	29	7	0.81
hữu_cơ	118662	24424	36	8	0.81
con	118662	24424	36	8	0.81
chứng_chỉ	118662	24424	8	3	0.81
trọn	118662	24424	8	3	0.81
tuyên_truyền	118662	24424	8	3	0.81
63	118662	24424	8	3	0.81
ghi_nhớ	118662	24424	8	3	0.81
store	118662	24424	8	3	0.81
sinh_trưởng	118662	24424	8	3	0.81
họa	118662	24424	8	3	0.81
vì_vậy	118662	24424	8	3	0.81
key	118662	24424	8	3	0.81
ke	118662	24424	8	3	0.81
tiệc	118662	24424	8	3	0.81
cầu_nguyện	118662	24424	8	3	0.81
vinh_danh	118662	24424	8	3	0.81
đề_án	118662	24424	8	3	0.81
đen_đen	118662	24424	8	3	0.81
thuận_tiện	118662	24424	8	3	0.81
băng	118662	24424	8	3	0.81
vf	118662	24424	37	8	0.81
căng_thẳng	118662	24424	18	5	0.80
chữa	118662	24424	18	5	0.80
tập_trung	118662	24424	18	5	0.80
trả	118662	24424	18	5	0.80
con_người	118662	24424	30	7	0.80
hiện	118662	24424	37	7	0.80
hỗn_hợp	118662	24424	4	2	0.80
design	118662	24424	4	2	0.80
clean	118662	24424	4	2	0.80
thành_tựu	118662	24424	4	2	0.80
hoàng_kim	118662	24424	4	2	0.80
ráy	118662	24424	4	2	0.80
sáng_lập	118662	24424	4	2	0.80
nerio_green	118662	24424	4	2	0.80
vùng_biên_giới	118662	24424	4	2	0.80
dàng	118662	24424	4	2	0.80
tâm_lý_học	118662	24424	4	2	0.80
phong_phú	118662	24424	4	2	0.80
nghỉ_ngơi	118662	24424	4	2	0.80
tương_đồng	118662	24424	4	2	0.80
dịu_dàng	118662	24424	4	2	0.80
hẳn	118662	24424	4	2	0.80
xoa_dịu	118662	24424	4	2	0.80
vững_chãi	118662	24424	4	2	0.80
tủ_đồ	118662	24424	4	2	0.80
satin	118662	24424	4	2	0.80
mật_thiết	118662	24424	4	2	0.80
98	118662	24424	4	2	0.80
101	118662	24424	4	2	0.80
phù_hợp_nhất	118662	24424	4	2	0.80
hd	118662	24424	4	2	0.80
khuyến_khích	118662	24424	4	2	0.80
anh_trai	118662	24424	4	2	0.80
hô	118662	24424	4	2	0.80
mệt_mỏi	118662	24424	4	2	0.80
khó_chịu	118662	24424	4	2	0.80
tiên	118662	24424	4	2	0.80
tri	118662	24424	4	2	0.80
mắc	118662	24424	4	2	0.80
nóng_bức	118662	24424	4	2	0.80
áp_lực	118662	24424	4	2	0.80
nghỉ_dưỡng	118662	24424	4	2	0.80
thất	118662	24424	4	2	0.80
nguyện	118662	24424	4	2	0.80
rep	118662	24424	4	2	0.80
nôm	118662	24424	4	2	0.80
dẫn_xuất	118662	24424	4	2	0.80
hoa_quả	118662	24424	4	2	0.80
biên_tập_viên	118662	24424	4	2	0.80
vannews	118662	24424	4	2	0.80
địa_đầu	118662	24424	4	2	0.80
sơn_la	118662	24424	4	2	0.80
asean	118662	24424	4	2	0.80
đại_biểu	118662	24424	4	2	0.80
đảng_bộ	118662	24424	4	2	0.80
gieo_cấy	118662	24424	4	2	0.80
tất_bật	118662	24424	4	2	0.80
thắng	118662	24424	4	2	0.80
ồn	118662	24424	4	2	0.80
xét	118662	24424	4	2	0.80
dưỡng_chất	118662	24424	4	2	0.80
sấy	118662	24424	4	2	0.80
bật	118662	24424	13	4	0.79
hơi	118662	24424	13	4	0.79
bản_sắc	118662	24424	13	4	0.79
tân	118662	24424	24	6	0.79
rác	118662	24424	31	7	0.79
gia	118662	24424	32	7	0.78
tham_gia	118662	24424	35	7	0.78
đảm_bảo	118662	24424	34	7	0.78
giày	118662	24424	33	6	0.78
hành_khách	118662	24424	19	5	0.77
đánh_giá	118662	24424	19	5	0.77
29	118662	24424	19	5	0.77
giàu	118662	24424	19	5	0.77
bóng	118662	24424	19	5	0.77
gian	118662	24424	26	6	0.76
hành_động	118662	24424	31	6	0.75
viên	118662	24424	27	6	0.75
chất_liệu	118662	24424	27	6	0.75
40	118662	24424	27	6	0.75
cuộc	118662	24424	27	6	0.75
ba	118662	24424	30	6	0.75
đồng_hành	118662	24424	14	4	0.75
kích_thích	118662	24424	14	4	0.75
nhớ	118662	24424	14	4	0.75
chút	118662	24424	14	4	0.75
tăng_cường	118662	24424	28	6	0.74
thuốc	118662	24424	29	6	0.74
góc	118662	24424	20	5	0.74
by	118662	24424	20	5	0.74
rõ	118662	24424	20	5	0.74
sức	118662	24424	20	5	0.74
ưa_chuộng	118662	24424	9	3	0.74
mềm_mại	118662	24424	9	3	0.74
lụa	118662	24424	9	3	0.74
chiếm	118662	24424	9	3	0.74
người_yêu	118662	24424	9	3	0.74
khán_giả	118662	24424	9	3	0.74
gmt	118662	24424	9	3	0.74
thức	118662	24424	9	3	0.74
cam_kết	118662	24424	27	5	0.73
đáng	118662	24424	21	5	0.73
thủy	118662	24424	21	5	0.73
trời	118662	24424	21	5	0.73
mái	118662	24424	21	5	0.73
đựng	118662	24424	21	5	0.73
34	118662	24424	26	5	0.72
cô	118662	24424	26	5	0.72
sắc_tố	118662	24424	26	5	0.72
chữ	118662	24424	22	5	0.71
nguồn_gốc	118662	24424	22	5	0.71
giới	118662	24424	22	5	0.71
tác_dụng	118662	24424	22	5	0.71
google	118662	24424	22	5	0.71
bứt_phá	118662	24424	15	4	0.71
polo	118662	24424	15	4	0.71
cam	118662	24424	15	4	0.71
định	118662	24424	15	4	0.71
dẫn_đầu	118662	24424	15	4	0.71
bắc_bling	118662	24424	15	4	0.71
golfer	118662	24424	15	4	0.71
chín	118662	24424	25	5	0.71
công_cộng	118662	24424	25	5	0.71
bệnh	118662	24424	25	5	0.71
chiều	118662	24424	23	5	0.71
một_cách	118662	24424	23	5	0.71
cánh	118662	24424	24	5	0.71
trở_nên	118662	24424	24	5	0.71
hy_vọng	118662	24424	23	4	0.70
dù	118662	24424	16	4	0.69
thời	118662	24424	16	4	0.69
kiến_tạo	118662	24424	16	4	0.69
ra_mắt	118662	24424	16	4	0.69
cụ_thể	118662	24424	16	4	0.69
services	118662	24424	1	1	0.69
trang_mẫu	118662	24424	1	1	0.69
khích	118662	24424	1	1	0.69
vùng_biển	118662	24424	1	1	0.69
hane	118662	24424	1	1	0.69
hân_hạnh	118662	24424	1	1	0.69
output	118662	24424	1	1	0.69
iwloc	118662	24424	1	1	0.69
near	118662	24424	1	1	0.69
vinh_dự	118662	24424	1	1	0.69
0907	118662	24424	1	1	0.69
861	118662	24424	1	1	0.69
803	118662	24424	1	1	0.69
phong_trào	118662	24424	1	1	0.69
hồ_hương	118662	24424	1	1	0.69
phương_uyên	118662	24424	1	1	0.69
